Vivado Simulator 2015.4
Time resolution is 1 ps
                   0 clk=0 reset=0 dec=1 count60=x x
                  50 clk=1 reset=0 dec=1 count60=x x
                 100 clk=0 reset=1 dec=1 count60=0 0
                 150 clk=1 reset=1 dec=1 count60=0 0
                 200 clk=0 reset=1 dec=1 count60=0 0
                 250 clk=1 reset=1 dec=1 count60=0 0
                 300 clk=0 reset=1 dec=1 count60=0 0
                 350 clk=1 reset=1 dec=1 count60=0 0
                 400 clk=0 reset=1 dec=1 count60=0 0
                 450 clk=1 reset=1 dec=1 count60=0 0
                 500 clk=0 reset=1 dec=1 count60=0 0
                 550 clk=1 reset=1 dec=1 count60=0 0
                 600 clk=0 reset=1 dec=1 count60=0 0
                 650 clk=1 reset=1 dec=1 count60=0 0
                 700 clk=0 reset=1 dec=1 count60=0 0
                 750 clk=1 reset=1 dec=1 count60=0 0
                 800 clk=0 reset=1 dec=1 count60=0 0
                 850 clk=1 reset=1 dec=1 count60=0 0
                 900 clk=0 reset=1 dec=1 count60=0 0
                 950 clk=1 reset=1 dec=1 count60=0 0
                1000 clk=0 reset=1 dec=1 count60=0 0
                1050 clk=1 reset=1 dec=1 count60=0 0
                1100 clk=0 reset=1 dec=1 count60=0 0
                1150 clk=1 reset=1 dec=1 count60=0 0
                1200 clk=0 reset=1 dec=1 count60=0 0
                1250 clk=1 reset=1 dec=1 count60=0 0
                1300 clk=0 reset=1 dec=1 count60=0 0
                1350 clk=1 reset=1 dec=1 count60=0 0
                1400 clk=0 reset=1 dec=1 count60=0 0
                1450 clk=1 reset=1 dec=1 count60=0 0
                1500 clk=0 reset=1 dec=1 count60=0 0
                1550 clk=1 reset=1 dec=1 count60=0 0
                1600 clk=0 reset=1 dec=1 count60=0 0
                1650 clk=1 reset=1 dec=1 count60=0 0
                1700 clk=0 reset=1 dec=1 count60=0 0
                1750 clk=1 reset=1 dec=1 count60=0 0
                1800 clk=0 reset=1 dec=1 count60=0 0
                1850 clk=1 reset=1 dec=1 count60=0 0
                1900 clk=0 reset=1 dec=1 count60=0 0
                1950 clk=1 reset=1 dec=1 count60=0 0
                2000 clk=0 reset=1 dec=1 count60=0 0
                2050 clk=1 reset=1 dec=1 count60=0 0
                2100 clk=0 reset=1 dec=1 count60=0 0
                2150 clk=1 reset=1 dec=1 count60=0 0
                2200 clk=0 reset=1 dec=1 count60=0 0
                2250 clk=1 reset=1 dec=1 count60=0 0
                2300 clk=0 reset=1 dec=1 count60=0 0
                2350 clk=1 reset=1 dec=1 count60=0 0
                2400 clk=0 reset=1 dec=1 count60=0 0
                2450 clk=1 reset=1 dec=1 count60=0 0
                2500 clk=0 reset=1 dec=1 count60=0 0
                2550 clk=1 reset=1 dec=1 count60=0 0
                2600 clk=0 reset=1 dec=1 count60=0 0
                2650 clk=1 reset=1 dec=1 count60=0 0
                2700 clk=0 reset=1 dec=1 count60=0 0
                2750 clk=1 reset=1 dec=1 count60=0 0
                2800 clk=0 reset=1 dec=1 count60=0 0
                2850 clk=1 reset=1 dec=1 count60=0 0
                2900 clk=0 reset=1 dec=1 count60=0 0
                2950 clk=1 reset=1 dec=1 count60=0 0
                3000 clk=0 reset=1 dec=1 count60=0 0
                3050 clk=1 reset=1 dec=1 count60=0 0
                3100 clk=0 reset=1 dec=1 count60=0 0
                3150 clk=1 reset=1 dec=1 count60=0 0
                3200 clk=0 reset=1 dec=1 count60=0 0
                3250 clk=1 reset=1 dec=1 count60=0 0
                3300 clk=0 reset=1 dec=1 count60=0 0
                3350 clk=1 reset=1 dec=1 count60=0 0
                3400 clk=0 reset=1 dec=1 count60=0 0
                3450 clk=1 reset=1 dec=1 count60=0 0
                3500 clk=0 reset=1 dec=1 count60=0 0
                3550 clk=1 reset=1 dec=1 count60=0 0
                3600 clk=0 reset=1 dec=1 count60=0 0
                3650 clk=1 reset=1 dec=1 count60=0 0
                3700 clk=0 reset=1 dec=1 count60=0 0
                3750 clk=1 reset=1 dec=1 count60=0 0
                3800 clk=0 reset=1 dec=1 count60=0 0
                3850 clk=1 reset=1 dec=1 count60=0 0
                3900 clk=0 reset=1 dec=1 count60=0 0
                3950 clk=1 reset=1 dec=1 count60=0 0
                4000 clk=0 reset=1 dec=1 count60=0 0
                4050 clk=1 reset=1 dec=1 count60=0 0
                4100 clk=0 reset=1 dec=1 count60=0 0
                4150 clk=1 reset=1 dec=1 count60=0 0
                4200 clk=0 reset=1 dec=1 count60=0 0
                4250 clk=1 reset=1 dec=1 count60=0 0
                4300 clk=0 reset=1 dec=1 count60=0 0
                4350 clk=1 reset=1 dec=1 count60=0 0
                4400 clk=0 reset=1 dec=1 count60=0 0
                4450 clk=1 reset=1 dec=1 count60=0 0
                4500 clk=0 reset=1 dec=1 count60=0 0
                4550 clk=1 reset=1 dec=1 count60=0 0
                4600 clk=0 reset=1 dec=1 count60=0 0
                4650 clk=1 reset=1 dec=1 count60=0 0
                4700 clk=0 reset=1 dec=1 count60=0 0
                4750 clk=1 reset=1 dec=1 count60=0 0
                4800 clk=0 reset=1 dec=1 count60=0 0
                4850 clk=1 reset=1 dec=1 count60=0 0
                4900 clk=0 reset=1 dec=1 count60=0 0
                4950 clk=1 reset=1 dec=1 count60=0 0
                5000 clk=0 reset=1 dec=1 count60=0 0
                5050 clk=1 reset=1 dec=1 count60=0 0
                5100 clk=0 reset=1 dec=1 count60=0 0
                5150 clk=1 reset=1 dec=1 count60=0 0
                5200 clk=0 reset=1 dec=1 count60=0 0
                5250 clk=1 reset=1 dec=1 count60=0 0
                5300 clk=0 reset=1 dec=1 count60=0 0
                5350 clk=1 reset=1 dec=1 count60=0 0
